user_id,name,email,signup_date,country,device
U1,Karan Verma,user1@gmail.com,2023-04-22,UK,
U2,Amit Sharma,user2@gmail.com,2023-10-28,Germany,
U3,Neha Patel,user3@gmail.com,2023-11-16,US,
U4,Priya Singh,user4@gmail.com,2023-11-03,Germany,Android
U5,Sneha Kapoor,user5@gmail.com,2023-02-14,Germany,Android
U6,Priya Mehta,user6@gmail.com,2023-11-06,india,Web
U7,Rahul Mehta,user7@gmail.com,2023-04-05,US,iOS
U8,Amit Kapoor,user8@gmail.com,2023-05-14,US,
U9,Isha Verma,user9@gmail.com,2023-08-01,US,iOS
U10,Isha Sharma,user10@gmail.com,2023-09-15,Germany,iOS
U11,Rahul Mehta,user11@gmail.com,2023-09-21,UK,Web
U12,Amit Sharma,user12@gmail.com,2023-05-06,US,
U13,Neha Nair,user13@gmail.com,2023-05-16,,
U14,Karan Mehta,user14@gmail.com,2023-07-23,Germany,web
U15,Arjun Verma,user15@gmail.com,2023-01-03,india,iOS
U16,Sneha Sharma,user16@gmail.com,2023-06-15,UK,iOS
U17,Neha Verma,user17@gmail.com,2023-05-27,,Android
U18,Rahul Verma,user18@gmail.com,2023-02-05,,web
U19,Neha Singh,user19@gmail.com,2023-10-07,india,Android
U20,Sneha Sharma,user20@gmail.com,2023-02-10,UK,Android
U21,Neha Nair,user21@gmail.com,2023-01-14,Germany,Android
U22,Sneha Sharma,user22@gmail.com,2023-11-07,India,Web
U23,Sneha Rao,user23@gmail.com,2023-07-26,UK,Web
U24,Neha Singh,user24@gmail.com,2023-12-07,india,Android
U25,Amit Mehta,user25@gmail.com,2023-07-26,,web
U26,Amit Sharma,user26@gmail.com,2023-07-17,Germany,iOS
U27,Rahul Nair,user27@gmail.com,2023-09-12,UK,web
U28,Isha Verma,user28@gmail.com,2023-04-17,India,
U29,Isha Kapoor,user29@gmail.com,2023-09-24,India,Web
U30,Arjun Singh,user30@gmail.com,2023-03-15,US,iOS
U31,Priya Mehta,user31@gmail.com,2023-10-05,US,iOS
U32,Neha Nair,user32@gmail.com,2023-02-17,india,
U33,Isha Singh,user33@gmail.com,2023-09-25,UK,
U34,Amit Verma,user34@gmail.com,2023-05-12,UK,Android
U35,Isha Mehta,user35@gmail.com,2023-12-26,,Web
U36,Rahul Patel,user36@gmail.com,2023-03-12,,Web
U37,Arjun Kapoor,user37@gmail.com,2023-04-20,,web
U38,Karan Singh,user38@gmail.com,2023-08-13,US,Android
U39,Priya Verma,user39@gmail.com,2023-11-15,UK,Android
U40,Neha Verma,user40@gmail.com,2023-10-08,UK,Android
U41,Karan Rao,user41@gmail.com,2023-03-17,India,Android
U42,Isha Kapoor,user42@gmail.com,2023-12-12,US,Web
U43,Amit Singh,user43@gmail.com,2023-09-11,Germany,Web
U44,Karan Rao,user44@gmail.com,2023-03-15,US,Android
U45,Priya Patel,user45@gmail.com,2023-10-01,Germany,web
U46,Priya Kapoor,user46@gmail.com,2023-11-08,India,iOS
U47,Amit Nair,user47@gmail.com,2023-01-03,india,iOS
U48,Amit Rao,user48@gmail.com,2023-11-01,UK,web
U49,Isha Kapoor,user49@gmail.com,2023-01-03,India,Android
U50,Amit Nair,user50@gmail.com,2023-10-17,UK,Web
U51,Neha Patel,user51@gmail.com,2023-03-06,,iOS
U52,Amit Mehta,user52@gmail.com,2023-09-25,india,
U53,Sneha Patel,user53@gmail.com,2023-02-25,india,
U54,Rahul Rao,user54@gmail.com,2023-03-04,India,web
U55,Amit Kapoor,user55@gmail.com,2023-01-17,india,Android
U56,Arjun Singh,user56@gmail.com,2023-07-21,Germany,iOS
U57,Isha Kapoor,user57@gmail.com,2023-10-14,india,Android
U58,Karan Verma,user58@gmail.com,2023-08-18,UK,iOS
U59,Neha Nair,user59@gmail.com,2023-01-29,UK,web
U60,Rahul Patel,user60@gmail.com,2023-01-10,UK,web
U61,Sneha Kapoor,user61@gmail.com,2023-08-18,UK,
U62,Isha Patel,user62@gmail.com,2023-06-30,Germany,Android
U63,Neha Verma,user63@gmail.com,2023-02-23,US,
U64,Priya Rao,user64@gmail.com,2023-02-28,,Android
U65,Isha Rao,user65@gmail.com,2023-11-03,India,
U66,Rahul Verma,user66@gmail.com,2023-09-04,UK,Web
U67,Isha Mehta,user67@gmail.com,2023-01-28,india,Web
U68,Sneha Nair,user68@gmail.com,2023-12-26,UK,Web
U69,Rahul Sharma,user69@gmail.com,2023-10-30,india,Web
U70,Sneha Rao,user70@gmail.com,2023-12-12,,iOS
U71,Rahul Nair,user71@gmail.com,2023-11-18,,Web
U72,Priya Nair,user72@gmail.com,2023-08-27,,web
U73,Priya Singh,user73@gmail.com,2023-02-04,india,web
U74,Sneha Verma,user74@gmail.com,2023-05-30,UK,iOS
U75,Neha Kapoor,user75@gmail.com,2023-12-03,,Web
U76,Priya Singh,user76@gmail.com,2023-03-07,Germany,Web
U77,Karan Patel,user77@gmail.com,2023-10-25,india,Web
U78,Karan Singh,user78@gmail.com,2023-09-17,india,
U79,Sneha Patel,user79@gmail.com,2023-09-05,UK,Android
U80,Sneha Patel,user80@gmail.com,2023-09-30,india,
U81,Karan Mehta,user81@gmail.com,2023-06-01,india,Android
U82,Rahul Rao,user82@gmail.com,2023-06-19,,Web
U83,Amit Patel,user83@gmail.com,2023-12-31,UK,Web
U84,Priya Nair,user84@gmail.com,2023-12-20,,
U85,Amit Singh,user85@gmail.com,2023-06-03,,
U86,Amit Verma,user86@gmail.com,2023-07-01,UK,Android
U87,Sneha Nair,user87@gmail.com,2023-02-22,India,web
U88,Priya Kapoor,user88@gmail.com,2023-05-26,,Android
U89,Karan Mehta,user89@gmail.com,2023-01-23,Germany,
U90,Neha Nair,user90@gmail.com,2023-09-03,Germany,
U91,Isha Mehta,user91@gmail.com,2023-02-26,india,iOS
U92,Priya Verma,user92@gmail.com,2023-04-07,Germany,
U93,Rahul Patel,user93@gmail.com,2023-06-29,india,iOS
U94,Isha Patel,user94@gmail.com,2023-04-16,India,web
U95,Priya Singh,user95@gmail.com,2023-05-23,UK,Android
U96,Arjun Mehta,user96@gmail.com,2023-03-06,UK,Android
U97,Arjun Mehta,user97@gmail.com,2023-10-22,UK,iOS
U98,Arjun Nair,user98@gmail.com,2023-05-29,Germany,Android
U99,Amit Verma,user99@gmail.com,2023-08-24,India,
U100,Karan Nair,user100@gmail.com,2023-08-20,Germany,Web
U101,Karan Rao,user101@gmail.com,2023-05-26,Germany,iOS
U102,Priya Sharma,user102@gmail.com,2023-05-28,India,Android
U103,Amit Verma,user103@gmail.com,2023-07-04,India,iOS
U104,Arjun Verma,user104@gmail.com,2023-08-07,India,iOS
U105,Karan Patel,user105@gmail.com,2023-10-30,India,Web
U106,Sneha Mehta,user106@gmail.com,2023-08-07,UK,
U107,Karan Mehta,user107@gmail.com,2023-05-23,US,iOS
